region,happines_score_average,per_corruption_average,freedom_average
"Australia and New Zealand",7.294600009918213,0.357294037938118,0.6114129483699798
"North America",7.174700021743774,0.2233450308442116,0.5589181393384933
"Western Europe",6.759310666797231,0.22378773935754032,0.5168680725167099
"Latin America and Caribbean",6.023810809796995,0.0924321902445979,0.4643302453463679
"Western Asia",5.77649998664856,0.15799999982118607,0.4560000002384186
"Eastern Asia",5.651566648483277,0.11799176565061013,0.41818480292956034
"Central and Eastern Europe",5.427806906864561,0.07567994980189692,0.3522329337638
"Southeastern Asia",5.335227288983085,0.13613967402224345,0.5437231307679956
"Middle East and Northern Africa",5.322084203519319,0.14466991106930532,0.3493601921749742
"Southern Asia",4.580657121113369,0.10035715757736138,0.39286672260080063
"Sub-Saharan Africa",4.190153046530121,0.10598510092276396,0.3536375260042331
