region,happines_score_average,gdp_p_capita_average
"Australia and New Zealand",7.294600009918213,1.3561970949172975
"North America",7.174700021743774,1.422037374973297
"Western Europe",6.759310666797231,1.3727020164137904
"Latin America and Caribbean",6.023810809796995,0.9416608845328426
"Western Asia",5.77649998664856,1.2459999918937683
"Eastern Asia",5.651566648483277,1.237694889307022
"Central and Eastern Europe",5.427806906864561,1.0184879973016936
"Southeastern Asia",5.335227288983085,0.8933396122672341
"Middle East and Northern Africa",5.322084203519319,1.0921766666989579
"Southern Asia",4.580657121113369,0.6388129072529929
"Sub-Saharan Africa",4.190153046530121,0.4481241666065643
